epoch,mIoU,pixel_accuracy
1.000000000000000000e+01,1.052460326710936561e-01,6.906085491180420366e-01
2.000000000000000000e+01,1.161531447128106853e-01,7.292350292205810325e-01
3.000000000000000000e+01,1.320693311990792373e-01,7.830567836761475053e-01
4.000000000000000000e+01,1.422457035646506052e-01,7.983196735382079856e-01
5.000000000000000000e+01,1.689183221644400545e-01,8.112181186676025169e-01
6.000000000000000000e+01,1.782939476132583689e-01,7.971091747283935991e-01
7.000000000000000000e+01,2.166157777233910509e-01,8.284285068511962891e-01
8.000000000000000000e+01,2.022576069007293864e-01,7.962484359741210938e-01
9.000000000000000000e+01,2.245194503834077870e-01,8.188923835754394753e-01
1.000000000000000000e+02,2.463553735709402281e-01,8.186552047729491743e-01
